Unnamed: 0,date,waste_smc,msw_rec,dig_feed,dig_feed_1,disposal_A,disposal_B,dig_press,dig_level,balloon_a,balloon_b,engine_running_hrs,total_power_gene,export_power,gas_consumption,sfc,raw_msw_TS,raw_msw_VS,raw_msw_MC,ac_02_TS,ac_02_VS,ac_02_MC,ac_02_sand,ac_02_CN,ac_02_cod,digester_feed_TS,digester_feed_VS,digester_feed_MC,digester_feed_PH,digester_feed_VFA,digester_feed_ALK,digester_feed_VA,digester_feed_EC,digester_feed_Temp,digester_feed_COD,digester_recycle_TS,digester_recycle_VS,digester_recycle_MC,digester_recycle_PH,digester_recycle_VFA,digester_recycle_ALK,digester_recycle_VA,digester_recycle_EC,digester_recycle_Temp,digester_recycle_TOC,digester_disposal_TS,digester_disposal_VS,digester_disposal_MC,digester_disposal_PH,digester_disposal_VFA,digester_disposal_ALK,digester_disposal_VA,digester_disposal_EC,digester_disposal_Temp,digester_disposal_TOC,biogas_clean_Methane%,biogas_clean_H2S(ppm),biogas_clean_Clean Biogas Methane%,biogas_clean_Clean Biogas H2S(ppm),biogas_clean_Dosing pH,biogas_clean_Scrubber pH
0,2022-03-01,202.015,202.015,0.0,53.37,0.0,0.0,0.0,15.445,0.3,0.6,9.4,3103.0,2250.0,1747.0,1.77,53.17469465648856,40.28032258064517,46.82522900763358,52.54665338645418,29.766176870748303,47.45334661354582,15.985251798561151,20.399000000000004,0.0,8.562039660056657,4.955675675675676,91.43801699716713,6.866972222222222,2754.4385474860337,5293.027374301676,0.5166480446927375,12.972478386167149,30.32555555555556,0.0,7.46951388888889,3.98478527607362,92.52710648148148,6.984487471526195,2278.09383908046,5312.167908045977,0.425026908045977,13.125690476190476,31.4001138952164,2.302351097178684,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,549.009900990099,65.87419354838711,340.4494382022472,13.27710843373494,9.988095238095235
1,2022-03-02,229.77,229.77,0.0,43.52,0.0,0.0,0.0,15.445,0.0,0.8,7.3,3011.0,2025.0,1691.0,1.78,53.17469465648856,40.28032258064517,46.82522900763358,52.54665338645418,29.766176870748303,47.45334661354582,15.985251798561151,20.399000000000004,0.0,8.76,4.9,91.24,6.97,1605.0,4878.0,0.33,9.34,27.7,0.0,7.46,4.12,92.54,7.03,1020.0,4898.0,0.21,9.35,27.9,2.39,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,1000.0,65.87419354838711,700.0,13.27710843373494,9.988095238095235
2,2022-03-03,247.61,247.61,0.0,51.34,0.0,50.0,0.0,15.445,0.75,0.6,5.3,1842.0,1125.0,1049.0,1.75,53.17469465648856,40.28032258064517,46.82522900763358,47.63,20.27,52.37,25.35,25.64,0.0,9.4,5.25,90.6,6.89,1710.0,4817.0,0.35,9.45,28.5,0.0,7.44,3.98,92.56,7.01,1080.0,4949.0,0.22,9.29,28.8,2.31,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,800.0,65.87419354838711,800.0,13.27710843373494,8.0
3,2022-03-04,229.855,229.855,0.0,48.16,0.0,0.0,0.0,15.445,0.65,0.55,6.0,2467.0,1800.0,1320.0,1.86,58.04,40.09,41.96,55.54,31.41,44.46,18.34,29.77,0.0,8.28,4.81,91.72,7.24,1605.0,4746.0,0.34,9.37,26.4,0.0,7.06,3.78,92.94,7.1,1020.0,4453.0,0.23,9.2,27.8,2.19,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,700.0,65.87419354838711,600.0,13.27710843373494,9.988095238095235
4,2022-03-05,245.81,245.81,0.0,26.13,0.0,50.0,0.0,15.445,0.0,0.8,6.4,3062.0,2250.0,1630.0,1.87,53.17469465648856,40.28032258064517,46.82522900763358,52.54665338645418,29.766176870748303,47.45334661354582,15.985251798561151,20.399000000000004,0.0,8.562039660056657,4.955675675675676,91.43801699716713,6.866972222222222,2754.4385474860337,5293.027374301676,0.5166480446927375,12.972478386167149,30.32555555555556,0.0,7.8,4.41,92.2,6.98,1095.0,4615.0,0.24,9.41,28.3,2.56,7.62,4.12,92.38,7.08,1470.0,4726.04,0.31,9.23,26.2,2.39,64.25999999999999,700.0,65.87419354838711,340.4494382022472,13.27710843373494,14.0
5,2022-03-06,208.13,208.13,0.0,7.24,0.0,0.0,0.0,15.445,0.1,0.8,2.35,1181.0,900.0,657.0,1.79,64.93,45.24,35.07,52.54665338645418,29.766176870748303,47.45334661354582,15.985251798561151,20.399000000000004,0.0,7.79,4.18,92.21,6.95,1770.0,4463.0,0.4,8.77,28.8,0.0,7.03,3.68,92.97,7.04,1050.0,4544.0,0.23,9.13,29.3,2.13,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,500.0,65.87419354838711,400.0,13.27710843373494,9.988095238095235
6,2022-03-07,178.32,178.32,0.0,37.09,0.0,0.0,0.0,15.445,0.0,0.45,8.4,1461.0,0.0,1079.0,1.35,53.17469465648856,40.28032258064517,46.82522900763358,52.54665338645418,29.766176870748303,47.45334661354582,15.985251798561151,20.399000000000004,0.0,9.93,5.32,90.07,6.99,1020.0,4959.0,0.21,8.54,29.2,0.0,8.8,4.5,91.2,7.04,750.0,4979.0,0.15,8.72,29.4,2.61,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,400.0,65.87419354838711,340.4494382022472,13.27710843373494,14.0
7,2022-03-08,238.75,238.75,0.0,36.65,0.0,0.0,0.0,15.445,0.55,0.05,9.1,1605.0,0.0,1125.0,1.42,53.17469465648856,40.28032258064517,46.82522900763358,52.54665338645418,29.766176870748303,47.45334661354582,15.985251798561151,20.399000000000004,0.0,8.562039660056657,4.955675675675676,91.43801699716713,6.866972222222222,2754.4385474860337,5293.027374301676,0.5166480446927375,12.972478386167149,30.32555555555556,0.0,7.46951388888889,3.98478527607362,92.52710648148148,6.984487471526195,2278.09383908046,5312.167908045977,0.425026908045977,13.125690476190476,31.4001138952164,2.302351097178684,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,549.009900990099,65.87419354838711,340.4494382022472,13.27710843373494,9.988095238095235
8,2022-03-09,243.71,243.71,0.0,43.78,0.0,0.0,0.0,15.445,0.55,0.4,3.25,1916.0,1125.0,1009.0,1.89,53.17469465648856,40.28032258064517,46.82522900763358,52.54665338645418,29.766176870748303,47.45334661354582,15.985251798561151,20.399000000000004,0.0,8.562039660056657,4.955675675675676,91.43801699716713,6.866972222222222,2754.4385474860337,5293.027374301676,0.5166480446927375,12.972478386167149,30.32555555555556,0.0,7.77,3.62,92.23,7.08,900.0,4878.0,0.18,12.0,29.3,2.1,9.327441860465116,4.6884,90.67255813953489,7.090114942528736,2317.8402380952384,5727.723333333333,0.4086904761904761,12.950117647058825,29.840344827586208,2.556304347826087,64.25999999999999,700.0,65.87419354838711,700.0,13.27710843373494,7.0
9,2022-03-10,225.69,225.69,0.0,56.08,0.0,50.0,0.0,15.445,0.55,0.4,8.1,3422.0,2475.0,1874.0,1.82,55.0,38.7,45.0,51.73,28.94,48.27,15.86,27.58,0.0,8.562039660056657,4.955675675675676,91.43801699716713,6.866972222222222,2754.4385474860337,5293.027374301676,0.5166480446927375,12.972478386167149,30.32555555555556,0.0,7.55,3.85,92.45,7.12,1050.0,4665.0,0.23,11.59,27.4,2.24,7.29,3.92,92.71,7.01,975.0,4877.84,0.2,13.2,27.5,2.27,64.1,700.0,65.3,700.0,13.27710843373494,7.0
